100 4950
2 80 8
2 81 6
2 82 8
2 83 8
2 84 3
2 85 5
2 86 8
2 87 9
2 88 2
2 89 9
2 90 10
2 91 10
2 92 8
2 93 6
2 94 5
2 95 2
2 96 4
2 97 2
2 98 8
2 99 5
3 1 10
3 4 5
3 5 8
3 6 4
3 7 2
3 8 4
3 9 3
3 10 5
3 11 8
3 12 4
3 13 8
3 14 6
3 15 7
3 16 8
3 17 3
3 18 9
3 19 10
3 20 9
3 21 7
3 22 9
3 23 1
3 24 7
3 25 9
3 26 3
3 27 3
3 28 5
3 29 6
3 30 9
3 31 3
3 32 7
3 33 3
3 34 1
3 35 1
3 36 4
3 37 5
3 38 9
3 39 6
3 40 8
3 41 7
3 42 7
3 43 7
3 44 2
3 45 5
3 46 7
3 47 7
3 48 10
3 49 2
3 50 10
3 51 7
3 52 5
3 53 9
3 54 2
3 55 5
3 56 8
3 57 7
3 58 6
3 59 6
3 60 3
3 61 9
3 62 7
3 63 1
3 64 1
3 65 5
3 66 3
3 67 1
3 68 8
3 69 6
3 70 8
3 71 4
3 72 6
3 73 4
3 74 6
3 75 7
3 76 1
3 77 10
3 78 7
3 79 3
3 80 9
3 81 6
3 82 10
3 83 1
3 84 6
3 85 9
3 86 2
3 87 3
3 88 5
3 89 4
3 90 8
3 91 5
3 92 9
3 93 9
3 94 6
3 95 5
3 96 9
3 97 4
3 98 1
3 99 3
4 1 4
4 5 9
4 6 4
4 7 6
4 8 5
4 9 1
4 10 1
4 11 7
4 12 3
4 13 5
4 14 9
4 15 7
4 16 8
4 17 9
4 18 6
4 19 6
4 20 2
4 21 4
4 22 7
4 23 9
4 24 1
4 25 9
4 26 6
4 27 1
4 28 1
4 29 10
4 30 8
4 31 10
4 32 1
4 33 1
4 34 8
4 35 3
4 36 2
4 37 8
4 38 9
4 39 6
4 40 6
4 41 1
4 42 8
4 43 7
4 44 10
4 45 5
4 46 10
4 47 4
4 48 2
4 49 10
4 50 6
4 51 5
4 52 6
4 53 5
4 54 2
4 55 4
4 56 2
4 57 3
4 58 5
4 59 9
4 60 10
4 61 8
4 62 7
4 63 10
4 64 3
4 65 3
4 66 10
4 67 4
4 68 5
4 69 1
4 70 5
4 71 10
4 72 1
4 73 4
4 74 5
4 75 5
4 76 6
4 77 6
4 78 1
4 79 7
4 80 4
4 81 3
4 82 3
4 83 1
4 84 3
4 85 6
4 86 4
4 87 8
4 88 7
4 89 6
4 90 5
4 91 7
4 92 1
4 93 1
4 94 4
4 95 2
4 96 7
4 97 2
4 98 1
4 99 4
5 1 10
5 6 8
5 7 10
5 8 7
5 9 5
5 10 6
5 11 6
5 12 7
5 13 5
5 14 6
5 15 5
5 16 10
5 17 9
5 18 1
5 19 5
5 20 5
5 21 9
5 22 10
5 23 5
5 24 7
5 25 4
5 26 6
5 27 1
5 28 7
5 29 5
5 30 6
5 31 9
5 32 6
5 33 6
5 34 5
5 35 2
5 36 9
5 37 2
5 38 6
5 39 8
5 40 10
5 41 4
5 42 8
5 43 10
5 44 9
5 45 7
5 46 6
5 47 1
5 48 3
5 49 10
5 50 8
5 51 2
5 52 6
5 53 9
5 54 1
5 55 9
5 56 4
5 57 3
5 58 3
5 59 8
5 60 9
5 61 10
5 62 2
5 63 3
5 64 1
5 65 6
5 66 4
5 67 8
5 68 8
5 69 6
5 70 2
5 71 1
5 72 4
5 73 3
5 74 6
5 75 10
5 76 4
5 77 8
5 78 5
5 79 2
5 80 8
5 81 8
5 82 1
5 83 9
5 84 9
5 85 10
5 86 9
5 87 8
5 88 6
5 89 8
5 90 5
5 91 2
5 92 8
5 93 8
5 94 9
5 95 5
5 96 10
5 97 6
5 98 10
5 99 7
6 1 5
6 7 7
6 8 2
6 9 3
6 10 5
6 11 5
6 12 7
6 13 8
6 14 2
6 15 5
6 16 5
6 17 9
6 18 3
6 19 2
6 20 7
6 21 5
6 22 6
6 23 9
6 24 10
6 25 7
6 26 7
6 27 4
6 28 5
6 29 7
6 30 9
6 31 7
6 32 3
6 33 5
6 34 7
6 35 2
6 36 2
6 37 3
6 38 1
6 39 7
6 40 5
6 41 9
6 42 4
6 43 1
6 44 8
6 45 5
6 46 10
6 47 10
6 48 3
6 49 9
6 50 8
6 51 7
6 52 10
6 53 10
6 54 4
6 55 6
6 56 5
6 57 4
6 58 5
6 59 2
6 60 3
6 61 8
6 62 2
6 63 6
6 64 9
6 65 6
6 66 2
6 67 5
6 68 1
6 69 2
6 70 5
6 71 6
6 72 4
6 73 2
6 74 7
6 75 1
6 76 8
6 77 4
6 78 9
6 79 2
6 80 6
6 81 8
6 82 4
6 83 10
6 84 2
6 85 8
6 86 5
6 87 10
6 88 10
6 89 4
6 90 3
6 91 4
6 92 10
6 93 4
6 94 3
6 95 2
6 96 4
6 97 4
6 98 4
6 99 2
7 1 6
7 8 3
7 9 7
7 10 2
7 11 9
7 12 6
7 13 7
7 14 10
7 15 10
7 16 3
7 17 10
7 18 3
7 19 3
7 20 9
7 21 4
7 22 3
7 23 10
7 24 6
7 25 2
7 26 7
7 27 6
7 28 7
7 29 1
7 30 5
7 31 6
7 32 9
7 33 7
7 34 1
7 35 5
7 36 7
7 37 9
7 38 4
7 39 2
7 40 8
7 41 7
7 42 3
7 43 10
7 44 4
7 45 5
7 46 2
7 47 1
7 48 7
7 49 3
7 50 10
7 51 7
7 52 4
7 53 6
7 54 10
7 55 2
7 56 10
7 57 7
7 58 9
7 59 7
7 60 4
7 61 10
7 62 3
7 63 8
7 64 4
7 65 7
7 66 9
7 67 5
7 68 3
7 69 1
7 70 6
7 71 4
7 72 9
7 73 10
7 74 3
7 75 1
7 76 6
7 77 8
7 78 10
7 79 8
7 80 6
7 81 10
7 82 3
7 83 10
7 84 3
7 85 2
7 86 6
7 87 1
7 88 10
7 89 1
7 90 4
7 91 10
7 92 7
7 93 10
7 94 3
7 95 10
7 96 1
7 97 7
7 98 3
7 99 8
8 1 6
8 9 1
8 10 9
8 11 6
8 12 7
8 13 2
8 14 4
8 15 6
8 16 2
8 17 3
8 18 2
8 19 2
8 20 1
8 21 1
8 22 7
8 23 4
8 24 5
8 25 1
8 26 6
8 27 1
8 28 10
8 29 6
8 30 4
8 31 6
8 32 3
8 33 9
8 34 5
8 35 7
8 36 5
8 37 2
8 38 3
8 39 6
8 40 10
8 41 6
8 42 3
8 43 5
8 44 4
8 45 2
8 46 8
8 47 9
8 48 8
8 49 7
8 50 10
8 51 8
8 52 4
8 53 4
8 54 9
8 55 3
8 56 7
8 57 7
8 58 6
8 59 5
8 60 5
8 61 9
8 62 4
8 63 5
8 64 2
8 65 2
8 66 8
8 67 3
8 68 5
8 69 4
8 70 9
8 71 3
8 72 10
8 73 7
8 74 8
8 75 7
8 76 7
8 77 4
8 78 5
8 79 9
8 80 8
8 81 6
8 82 9
8 83 8
8 84 3
8 85 7
8 86 7
8 87 3
8 88 10
8 89 3
8 90 3
8 91 1
8 92 6
8 93 5
8 94 2
8 95 2
8 96 10
8 97 2
8 98 4
8 99 4
9 1 7
9 10 8
9 11 5
9 12 2
9 13 4
9 14 9
9 15 1
9 16 3
9 17 2
9 18 2
9 19 1
9 20 7
9 21 5
9 22 6
9 23 5
9 24 7
9 25 1
9 26 8
9 27 4
9 28 9
9 29 3
9 30 6
9 31 3
9 32 4
9 33 8
9 34 4
9 35 1
9 36 1
9 37 5
9 38 6
9 39 2
9 40 8
9 41 1
9 42 4
9 43 5
9 44 6
9 45 8
9 46 4
9 47 6
9 48 4
9 49 5
9 50 5
9 51 2
9 52 5
9 53 5
9 54 10
9 55 1
9 56 2
9 57 1
9 58 2
9 59 3
9 60 10
9 61 3
9 62 1
9 63 8
9 64 1
9 65 10
9 66 3
9 67 5
9 68 10
9 69 5
9 70 4
9 71 3
9 72 8
9 73 10
9 74 5
9 75 9
9 76 9
9 77 6
9 78 6
9 79 10
9 80 8
9 81 2
9 82 7
9 83 4
9 84 1
9 85 6
9 86 5
9 87 8
9 88 4
9 89 1
9 90 1
9 91 6
9 92 2
9 93 4
9 94 9
9 95 1
9 96 9
9 97 6
9 98 9
9 99 8
10 1 8
10 11 5
10 12 7
10 13 5
10 14 1
10 15 7
10 16 1
10 17 2
10 18 5
10 19 8
10 20 10
10 21 9
10 22 4
10 23 9
10 24 4
10 25 6
10 26 1
10 27 8
10 28 1
10 29 5
10 30 7
10 31 4
10 32 8
10 33 4
10 34 2
10 35 3
10 36 6
10 37 3
10 38 5
10 39 8
10 40 10
10 41 4
10 42 4
10 43 2
10 44 6
10 45 6
10 46 10
10 47 9
10 48 4
10 49 6
10 50 3
10 51 9
10 52 2
10 53 8
10 54 7
10 55 2
10 56 6
10 57 8
10 58 8
10 59 4
10 60 3
10 61 3
10 62 8
10 63 7
10 64 5
10 65 9
10 66 3
10 67 5
10 68 7
10 69 2
10 70 10
10 71 9
10 72 9
10 73 4
10 74 8
10 75 8
10 76 8
10 77 3
10 78 5
10 79 5
10 80 7
10 81 2
10 82 7
10 83 7
10 84 8
10 85 3
10 86 4
10 87 10
10 88 8
10 89 10
10 90 4
10 91 6
10 92 8
10 93 2
10 94 5
10 95 3
10 96 8
10 97 8
10 98 2
10 99 1
11 1 3
11 12 7
11 13 5
11 14 3
11 15 1
11 16 10
11 17 5
11 18 9
11 19 8
11 20 4
11 21 6
11 22 9
11 23 9
11 24 5
11 25 4
11 26 1
11 27 5
11 28 8
11 29 2
11 30 6
11 31 7
11 32 2
11 33 8
11 34 8
11 35 2
11 36 9
11 37 3
11 38 1
11 39 10
11 40 6
11 41 6
11 42 4
11 43 1
11 44 9
11 45 5
11 46 8
11 47 5
11 48 6
11 49 5
11 50 1
11 51 8
11 52 7
11 53 6
11 54 5
11 55 2
11 56 7
11 57 2
11 58 1
11 59 2
11 60 1
11 61 8
11 62 7
11 63 9
11 64 10
11 65 2
11 66 5
11 67 5
11 68 1
11 69 5
11 70 9
11 71 7
11 72 9
11 73 9
11 74 4
11 75 5
11 76 10
11 77 4
11 78 3
11 79 8
11 80 8
11 81 8
11 82 3
11 83 4
11 84 3
11 85 1
11 86 1
11 87 10
11 88 4
11 89 5
11 90 6
11 91 9
11 92 10
11 93 9
11 94 7
11 95 3
11 96 10
11 97 2
11 98 5
11 99 5
12 1 8
12 13 1
12 14 3
12 15 6
12 16 3
12 17 6
12 18 5
12 19 7
12 20 9
12 21 9
12 22 2
12 23 10
12 24 8
12 25 3
12 26 7
12 27 1
12 28 5
12 29 3
12 30 4
12 31 9
12 32 8
12 33 1
12 34 9
12 35 6
12 36 9
12 37 7
12 38 6
12 39 7
12 40 6
12 41 5
12 42 6
12 43 2
12 44 5
12 45 4
12 46 9
12 47 5
12 48 8
12 49 3
12 50 6
12 51 2
12 52 2
12 53 1
12 54 3
12 55 7
12 56 4
12 57 7
12 58 8
12 59 3
12 60 4
12 61 2
12 62 4
12 63 4
12 64 3
12 65 2
12 66 2
12 67 9
12 68 7
12 69 8
12 70 3
12 71 3
12 72 7
12 73 5
12 74 4
12 75 9
12 76 5
12 77 8
12 78 5
12 79 4
12 80 4
12 81 5
12 82 2
12 83 6
12 84 8
12 85 3
12 86 5
12 87 9
12 88 6
12 89 4
12 90 4
12 91 4
12 92 1
12 93 9
12 94 10
12 95 3
12 96 1
12 97 9
12 98 3
12 99 8
13 1 6
13 14 10
13 15 9
13 16 2
13 17 1
13 18 10
13 19 2
13 20 7
13 21 8
13 22 3
13 23 8
13 24 5
13 25 4
13 26 2
13 27 7
13 28 4
13 29 5
13 30 4
13 31 7
13 32 10
13 33 4
13 34 7
13 35 5
13 36 4
13 37 5
13 38 10
13 39 10
13 40 10
13 41 9
13 42 4
13 43 7
13 44 9
13 45 5
13 46 2
13 47 10
13 48 5
13 49 3
13 50 10
13 51 9
13 52 5
13 53 10
13 54 5
13 55 2
13 56 3
13 57 8
13 58 4
13 59 9
13 60 4
13 61 7
13 62 7
13 63 7
13 64 7
13 65 7
13 66 2
13 67 8
13 68 7
13 69 10
13 70 7
13 71 3
13 72 1
13 73 5
13 74 9
13 75 3
13 76 8
13 77 6
13 78 5
13 79 2
13 80 8
13 81 5
13 82 1
13 83 1
13 84 8
13 85 1
13 86 1
13 87 7
13 88 8
13 89 7
13 90 1
13 91 10
13 92 8
13 93 6
13 94 6
13 95 5
13 96 4
13 97 1
13 98 2
13 99 6
14 1 7
14 15 3
14 16 9
14 17 5
14 18 8
14 19 8
14 20 8
14 21 10
14 22 8
14 23 9
14 24 7
14 25 5
14 26 3
14 27 4
14 28 2
14 29 4
14 30 10
14 31 8
14 32 4
14 33 3
14 34 8
14 35 7
14 36 6
14 37 7
14 38 1
14 39 8
14 40 5
14 41 3
14 42 6
14 43 9
14 44 8
14 45 1
14 46 3
14 47 1
14 48 10
14 49 8
14 50 7
14 51 9
14 52 6
14 53 7
14 54 1
14 55 10
14 56 2
14 57 5
14 58 6
14 59 10
14 60 1
14 61 8
14 62 5
14 63 4
14 64 5
14 65 4
14 66 2
14 67 9
14 68 9
14 69 3
14 70 7
14 71 10
14 72 2
14 73 6
14 74 7
14 75 10
14 76 8
14 77 1
14 78 9
14 79 10
14 80 3
14 81 6
14 82 4
14 83 8
14 84 4
14 85 2
14 86 1
14 87 7
14 88 8
14 89 2
14 90 10
14 91 3
14 92 7
14 93 5
14 94 4
14 95 7
14 96 10
14 97 9
14 98 8
14 99 6
15 1 8
15 16 3
15 17 2
15 18 6
15 19 9
15 20 10
15 21 3
15 22 3
15 23 1
15 24 7
15 25 5
15 26 6
15 27 10
15 28 7
15 29 10
15 30 1
15 31 4
15 32 7
15 33 2
15 34 5
15 35 4
15 36 3
15 37 3
15 38 4
15 39 8
15 40 1
15 41 5
15 42 1
15 43 1
15 44 10
15 45 6
15 46 10
15 47 9
15 48 2
15 49 3
15 50 4
15 51 3
15 52 9
15 53 8
15 54 1
15 55 8
15 56 1
15 57 2
15 58 4
15 59 7
15 60 2
15 61 2
15 62 2
15 63 2
15 64 10
15 65 10
15 66 7
15 67 8
15 68 9
15 69 6
15 70 5
15 71 10
15 72 7
15 73 1
15 74 4
15 75 4
15 76 6
15 77 4
15 78 5
15 79 8
15 80 2
15 81 6
15 82 10
15 83 7
15 84 4
15 85 7
15 86 1
15 87 8
15 88 2
15 89 8
15 90 2
15 91 5
15 92 6
15 93 2
15 94 2
15 95 5
15 96 1
15 97 10
15 98 9
15 99 6
16 1 2
16 17 4
16 18 5
16 19 2
16 20 5
16 21 4
16 22 10
16 23 1
16 24 1
16 25 1
16 26 5
16 27 6
16 28 5
16 29 9
16 30 1
16 31 3
16 32 5
16 33 7
16 34 1
16 35 7
16 36 7
16 37 6
16 38 2
16 39 6
16 40 5
16 41 8
16 42 2
16 43 1
16 44 3
16 45 1
16 46 6
16 47 6
16 48 1
16 49 4
16 50 1
16 51 3
16 52 10
16 53 9
16 54 10
16 55 9
16 56 4
16 57 6
16 58 1
16 59 9
16 60 4
16 61 10
16 62 1
16 63 8
16 64 7
16 65 7
16 66 1
16 67 8
16 68 7
16 69 4
16 70 7
16 71 6
16 72 2
16 73 5
16 74 8
16 75 2
16 76 4
16 77 4
16 78 7
16 79 2
16 80 8
16 81 2
16 82 10
16 83 2
16 84 7
16 85 2
16 86 7
16 87 7
16 88 3
16 89 3
16 90 3
16 91 9
16 92 3
16 93 7
16 94 1
16 95 6
16 96 4
16 97 9
16 98 2
16 99 4
17 1 1
17 18 3
17 19 4
17 20 9
17 21 5
17 22 5
17 23 2
17 24 7
17 25 9
17 26 7
17 27 2
17 28 3
17 29 6
17 30 10
17 31 1
17 32 6
17 33 3
17 34 6
17 35 2
17 36 9
17 37 6
17 38 4
17 39 7
17 40 3
17 41 2
17 42 5
17 43 6
17 44 1
17 45 7
17 46 1
17 47 10
17 48 8
17 49 1
17 50 10
17 51 6
17 52 2
17 53 6
17 54 10
17 55 1
17 56 9
17 57 3
17 58 6
17 59 7
17 60 4
17 61 3
17 62 7
17 63 8
17 64 5
17 65 2
17 66 4
17 67 1
17 68 1
17 69 8
17 70 7
17 71 7
17 72 8
17 73 8
17 74 7
17 75 2
17 76 6
17 77 9
17 78 8
17 79 7
17 80 7
17 81 9
17 82 4
17 83 2
17 84 7
17 85 8
17 86 9
17 87 7
17 88 6
17 89 6
17 90 1
17 91 5
17 92 9
17 93 3
17 94 7
17 95 2
17 96 7
17 97 10
17 98 3
17 99 6
18 1 9
18 19 3
18 20 9
18 21 8
18 22 3
18 23 10
18 24 2
18 25 5
18 26 6
18 27 4
18 28 10
18 29 9
18 30 6
18 31 9
18 32 3
18 33 3
18 34 9
18 35 3
18 36 9
18 37 6
18 38 6
18 39 10
18 40 6
18 41 9
18 42 9
18 43 8
18 44 10
18 45 9
18 46 9
18 47 5
18 48 7
18 49 3
18 50 3
18 51 5
18 52 1
18 53 6
18 54 2
18 55 8
18 56 1
18 57 9
18 58 7
18 59 2
18 60 6
18 61 7
18 62 3
18 63 5
18 64 9
18 65 1
18 66 1
18 67 2
18 68 2
18 69 8
18 70 1
18 71 5
18 72 5
18 73 6
18 74 10
18 75 3
18 76 10
18 77 8
18 78 5
18 79 6
18 80 1
18 81 5
18 82 7
18 83 9
18 84 1
18 85 3
18 86 8
18 87 10
18 88 1
18 89 10
18 90 7
18 91 7
18 92 3
18 93 9
18 94 3
18 95 7
18 96 10
18 97 6
18 98 1
18 99 2
19 1 9
19 20 7
19 21 2
19 22 4
19 23 10
19 24 6
19 25 6
19 26 10
19 27 3
19 28 1
19 29 7
19 30 9
19 31 8
19 32 9
19 33 8
19 34 3
19 35 4
19 36 9
19 37 9
19 38 1
19 39 6
19 40 3
19 41 8
19 42 1
19 43 2
19 44 9
19 45 5
19 46 4
19 47 8
19 48 3
19 49 8
19 50 1
19 51 2
19 52 4
19 53 2
19 54 8
19 55 1
19 56 4
19 57 8
19 58 10
19 59 9
19 60 3
19 61 5
19 62 2
19 63 2
19 64 2
19 65 3
19 66 9
19 67 5
19 68 7
19 69 3
19 70 2
19 71 6
19 72 7
19 73 8
19 74 1
19 75 9
19 76 1
19 77 7
19 78 2
19 79 6
19 80 6
19 81 10
19 82 6
19 83 6
19 84 5
19 85 2
19 86 7
19 87 1
19 88 4
19 89 9
19 90 4
19 91 10
19 92 8
19 93 2
19 94 3
19 95 10
19 96 9
19 97 1
19 98 4
19 99 10
20 1 6
20 21 2
20 22 4
20 23 2
20 24 7
20 25 6
20 26 1
20 27 3
20 28 8
20 29 9
20 30 2
20 31 2
20 32 5
20 33 7
20 34 3
20 35 2
20 36 7
20 37 5
20 38 1
20 39 5
20 40 2
20 41 6
20 42 5
20 43 7
20 44 2
20 45 10
20 46 6
20 47 1
20 48 4
20 49 9
20 50 1
20 51 1
20 52 8
20 53 5
20 54 2
20 55 8
20 56 9
20 57 7
20 58 8
20 59 3
20 60 3
20 61 2
20 62 1
20 63 5
20 64 10
20 65 10
20 66 7
20 67 7
20 68 2
20 69 8
20 70 4
20 71 9
20 72 8
20 73 5
20 74 6
20 75 10
20 76 8
20 77 3
20 78 9
20 79 4
20 80 5
20 81 8
20 82 9
20 83 1
20 84 5
20 85 3
20 86 6
20 87 10
20 88 2
20 89 4
20 90 3
20 91 5
20 92 5
20 93 1
20 94 10
20 95 9
20 96 7
20 97 2
20 98 1
20 99 9
21 1 5
21 22 5
21 23 10
21 24 5
21 25 1
21 26 9
21 27 3
21 28 6
21 29 4
21 30 2
21 31 6
21 32 7
21 33 10
21 34 5
21 35 9
21 36 9
21 37 2
21 38 7
21 39 2
21 40 3
21 41 2
21 42 4
21 43 10
21 44 6
21 45 6
21 46 2
21 47 7
21 48 3
21 49 7
21 50 4
21 51 5
21 52 9
21 53 6
21 54 5
21 55 5
21 56 1
21 57 2
21 58 5
21 59 3
21 60 9
21 61 6
21 62 5
21 63 10
21 64 7
21 65 6
21 66 8
21 67 10
21 68 3
21 69 8
21 70 6
21 71 5
21 72 8
21 73 9
21 74 6
21 75 1
21 76 10
21 77 3
21 78 5
21 79 8
21 80 6
21 81 1
21 82 5
21 83 3
21 84 1
21 85 10
21 86 9
21 87 1
21 88 1
21 89 8
21 90 10
21 91 9
21 92 7
21 93 7
21 94 6
21 95 7
21 96 2
21 97 10
21 98 6
21 99 10
22 1 2
22 23 2
22 24 8
22 25 9
22 26 6
22 27 8
22 28 10
22 29 2
22 30 1
22 31 2
22 32 9
22 33 9
22 34 6
22 35 5
22 36 9
22 37 1
22 38 9
22 39 10
22 40 2
22 41 8
22 42 4
22 43 1
22 44 7
22 45 7
22 46 1
22 47 7
22 48 4
22 49 3
22 50 10
22 51 1
22 52 7
22 53 7
22 54 5
22 55 4
22 56 3
22 57 7
22 58 4
22 59 4
22 60 9
22 61 8
22 62 6
22 63 5
22 64 9
22 65 10
22 66 9
22 67 6
22 68 1
22 69 7
22 70 9
22 71 9
22 72 7
22 73 7
22 74 1
22 75 7
22 76 3
22 77 10
22 78 8
22 79 8
22 80 8
22 81 9
22 82 6
22 83 6
22 84 9
22 85 9
22 86 4
22 87 1
22 88 1
22 89 1
22 90 4
22 91 8
22 92 5
22 93 3
22 94 1
22 95 2
22 96 5
22 97 7
22 98 3
22 99 4
23 1 8
23 24 9
23 25 10
23 26 7
23 27 10
23 28 7
23 29 7
23 30 9
23 31 3
23 32 4
23 33 9
23 34 9
23 35 5
23 36 1
23 37 9
23 38 7
23 39 6
23 40 10
23 41 7
23 42 9
23 43 3
23 44 4
23 45 3
23 46 8
23 47 3
23 48 7
23 49 9
23 50 6
23 51 1
23 52 3
23 53 3
23 54 3
23 55 3
23 56 10
23 57 7
23 58 9
23 59 5
23 60 1
23 61 10
23 62 4
23 63 7
23 64 9
23 65 10
23 66 2
23 67 8
23 68 5
23 69 6
23 70 1
23 71 5
23 72 8
23 73 7
23 74 6
23 75 9
23 76 3
23 77 5
23 78 3
23 79 6
23 80 7
23 81 2
23 82 3
23 83 6
23 84 8
23 85 9
23 86 9
23 87 3
23 88 7
23 89 10
23 90 6
23 91 5
23 92 1
23 93 7
23 94 10
23 95 4
23 96 9
23 97 2
23 98 6
23 99 4
24 1 8
24 25 8
24 26 5
24 27 8
24 28 1
24 29 9
24 30 3
24 31 6
24 32 2
24 33 7
24 34 7
24 35 9
24 36 6
24 37 7
24 38 2
24 39 9
24 40 1
24 41 4
24 42 1
24 43 1
24 44 7
24 45 9
24 46 7
24 47 8
24 48 3
24 49 2
24 50 2
24 51 3
24 52 8
24 53 8
24 54 9
24 55 6
24 56 2
24 57 10
24 58 9
24 59 9
24 60 9
24 61 7
24 62 9
24 63 8
24 64 6
24 65 5
24 66 8
24 67 3
24 68 5
24 69 9
24 70 4
24 71 4
24 72 8
24 73 4
24 74 2
24 75 9
24 76 1
24 77 8
24 78 7
24 79 4
24 80 10
24 81 8
24 82 3
24 83 8
24 84 7
24 85 2
24 86 5
24 87 4
24 88 5
24 89 7
24 90 10
24 91 10
24 92 7
24 93 8
24 94 9
24 95 1
24 96 4
24 97 1
24 98 1
24 99 9
25 1 9
25 26 7
25 27 3
25 28 1
25 29 5
25 30 6
25 31 7
25 32 8
25 33 3
25 34 2
25 35 4
25 36 5
25 37 4
25 38 6
25 39 5
25 40 3
25 41 4
25 42 4
25 43 8
25 44 5
25 45 9
25 46 1
25 47 9
25 48 2
25 49 8
25 50 2
25 51 4
25 52 9
25 53 9
25 54 1
25 55 8
25 56 3
25 57 2
25 58 5
25 59 6
25 60 5
25 61 7
25 62 3
25 63 2
25 64 9
25 65 7
25 66 2
25 67 1
25 68 2
25 69 5
25 70 4
25 71 10
25 72 6
25 73 6
25 74 7
25 75 8
25 76 1
25 77 1
25 78 10
25 79 8
25 80 4
25 81 7
25 82 5
25 83 9
25 84 4
25 85 9
25 86 7
25 87 5
25 88 3
25 89 7
25 90 6
25 91 8
25 92 10
25 93 3
25 94 9
25 95 7
25 96 5
25 97 2
25 98 2
25 99 4
26 1 7
26 27 4
26 28 10
26 29 10
26 30 8
26 31 7
26 32 5
26 33 4
26 34 7
26 35 5
26 36 6
26 37 8
26 38 2
26 39 3
26 40 5
26 41 2
26 42 8
26 43 8
26 44 7
26 45 3
26 46 7
26 47 8
26 48 7
26 49 7
26 50 1
26 51 10
26 52 7
26 53 8
26 54 4
26 55 10
26 56 10
26 57 9
26 58 5
26 59 1
26 60 2
26 61 8
26 62 6
26 63 10
26 64 6
26 65 1
26 66 8
26 67 5
26 68 4
26 69 3
26 70 7
26 71 9
26 72 10
26 73 7
26 74 4
26 75 4
26 76 6
26 77 1
26 78 1
26 79 8
26 80 9
26 81 9
26 82 3
26 83 9
26 84 9
26 85 10
26 86 8
26 87 5
26 88 10
26 89 1
26 90 10
26 91 4
26 92 8
26 93 6
26 94 3
26 95 3
26 96 4
26 97 7
26 98 2
26 99 3
27 1 2
27 28 5
27 29 1
27 30 3
27 31 10
27 32 6
27 33 9
27 34 7
27 35 9
27 36 10
27 37 3
27 38 9
27 39 3
27 40 7
27 41 3
27 42 8
27 43 6
27 44 6
27 45 5
27 46 3
27 47 9
27 48 5
27 49 5
27 50 4
27 51 9
27 52 5
27 53 3
27 54 1
27 55 6
27 56 6
27 57 5
27 58 2
27 59 10
27 60 8
27 61 7
27 62 10
27 63 8
27 64 1
27 65 9
27 66 3
27 67 3
27 68 5
27 69 9
27 70 6
27 71 10
27 72 3
27 73 4
27 74 3
27 75 7
27 76 7
27 77 4
27 78 6
27 79 3
27 80 3
27 81 1
27 82 9
27 83 7
27 84 6
27 85 4
27 86 8
27 87 1
27 88 8
27 89 9
27 90 10
27 91 9
27 92 2
27 93 6
27 94 5
27 95 10
27 96 4
27 97 2
27 98 9
27 99 3
28 1 1
28 29 2
28 30 10
28 31 9
28 32 10
28 33 3
28 34 5
28 35 5
28 36 2
